transaction_id,template_id,competencia,descricao,categoria_id,valor_previsto,valor_final,status,considerar_resumo,payment_account_id,payment_group_id,tipo_lancamento,origem
tx-2026-03-jus-brasil,tpl-jus-brasil,2026-03,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2026-03,RECORRENTE,migrado-saidas
tx-2026-04-jus-brasil,tpl-jus-brasil,2026-04,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2026-04,RECORRENTE,migrado-saidas
tx-2026-05-jus-brasil,tpl-jus-brasil,2026-05,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2026-05,RECORRENTE,migrado-saidas
tx-2026-06-jus-brasil,tpl-jus-brasil,2026-06,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2026-06,RECORRENTE,migrado-saidas
tx-2026-07-jus-brasil,tpl-jus-brasil,2026-07,Jus Brasil,cat-crunchyroll,"29,9","29,9",PENDENTE,FALSE,acc-credito,fat-credito-2026-07,RECORRENTE,migrado-saidas
tx-2026-08-jus-brasil,tpl-jus-brasil,2026-08,Jus Brasil,cat-crunchyroll,"29,9","29,9",PENDENTE,FALSE,acc-credito,fat-credito-2026-08,RECORRENTE,migrado-saidas
tx-2026-09-jus-brasil,tpl-jus-brasil,2026-09,Jus Brasil,cat-crunchyroll,"29,9","29,9",PENDENTE,FALSE,acc-credito,fat-credito-2026-09,RECORRENTE,migrado-saidas
tx-2026-10-jus-brasil,tpl-jus-brasil,2026-10,Jus Brasil,cat-crunchyroll,"29,9","29,9",PENDENTE,FALSE,acc-credito,fat-credito-2026-10,RECORRENTE,migrado-saidas
tx-2026-11-jus-brasil,tpl-jus-brasil,2026-11,Jus Brasil,cat-crunchyroll,"29,9","29,9",PENDENTE,FALSE,acc-credito,fat-credito-2026-11,RECORRENTE,migrado-saidas
tx-2026-12-jus-brasil,tpl-jus-brasil,2026-12,Jus Brasil,cat-crunchyroll,"29,9","29,9",PENDENTE,FALSE,acc-credito,fat-credito-2026-12,RECORRENTE,migrado-saidas
tx-2024-07-apartamento,tpl-apartamento,2024-07,Apartamento,cat-jus-brasil,"1551,84","1551,84",PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2024-08-apartamento,tpl-apartamento,2024-08,Apartamento,cat-jus-brasil,"1552,9","1552,9",PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2024-09-apartamento,tpl-apartamento,2024-09,Apartamento,cat-jus-brasil,"1554,02","1554,02",PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2024-10-apartamento,tpl-apartamento,2024-10,Apartamento,cat-jus-brasil,"1555,03","1555,03",PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2024-11-apartamento,tpl-apartamento,2024-11,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2024-12-apartamento,tpl-apartamento,2024-12,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2025-01-apartamento,tpl-apartamento,2025-01,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2025-02-apartamento,tpl-apartamento,2025-02,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2025-03-apartamento,tpl-apartamento,2025-03,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2025-04-apartamento,tpl-apartamento,2025-04,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2025-05-apartamento,tpl-apartamento,2025-05,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2025-06-apartamento,tpl-apartamento,2025-06,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2025-07-apartamento,tpl-apartamento,2025-07,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2025-08-apartamento,tpl-apartamento,2025-08,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2025-09-apartamento,tpl-apartamento,2025-09,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2025-10-apartamento,tpl-apartamento,2025-10,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2025-11-apartamento,tpl-apartamento,2025-11,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2025-12-apartamento,tpl-apartamento,2025-12,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2026-01-apartamento,tpl-apartamento,2026-01,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2026-02-apartamento,tpl-apartamento,2026-02,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2026-03-apartamento,tpl-apartamento,2026-03,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2026-04-apartamento,tpl-apartamento,2026-04,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2026-05-apartamento,tpl-apartamento,2026-05,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2026-06-apartamento,tpl-apartamento,2026-06,Apartamento,cat-jus-brasil,1555,1555,PAGO,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2026-07-apartamento,tpl-apartamento,2026-07,Apartamento,cat-jus-brasil,1555,1555,PENDENTE,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2026-08-apartamento,tpl-apartamento,2026-08,Apartamento,cat-jus-brasil,1555,1555,PENDENTE,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2026-09-apartamento,tpl-apartamento,2026-09,Apartamento,cat-jus-brasil,1555,1555,PENDENTE,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2026-10-apartamento,tpl-apartamento,2026-10,Apartamento,cat-jus-brasil,1555,1555,PENDENTE,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
tx-2026-11-apartamento,tpl-apartamento,2026-11,Apartamento,cat-jus-brasil,1555,1555,PENDENTE,TRUE,acc-debito-automatico,,RECORRENTE,migrado-saidas
